"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.30953619334653e-232,2.9985409895683,0.968,0.75,4.76873033202192e-228,"6","HSP90AA1"
2.04103626797592e-149,2.98063612093614,0.718,0.341,4.21433168611669e-145,"6","HSPH1"
0,8.24109558948244,0.323,0.002,0,"7","LHFPL6"
0,7.81678638645368,0.307,0.002,0,"7","DIAPH3"
0,7.66594556358176,0.261,0.001,0,"7","AURKB"
0,7.2043444181995,0.413,0.004,0,"7","MYBL1"
0,7.14962405024992,0.376,0.005,0,"7","RRM2"
0,7.11063158148457,0.258,0.002,0,"7","CDT1"
0,7.01547904619936,0.348,0.004,0,"7","PCLAF"
0,6.870964612096,0.27,0.005,0,"7","SLCO3A1"
0,6.74946605376091,0.398,0.004,0,"7","MKI67"
0,6.6711782358349,0.32,0.002,0,"7","BIRC5"
6.46171234339761e-153,3.50093528737293,0.667,0.143,1.33421436466474e-148,"8","MYC"
3.58033089055441e-145,3.33684572493887,0.774,0.218,7.39266722281675e-141,"8","MIR155HG"
6.50490985917058e-103,2.9759792868955,0.502,0.108,1.34313378772154e-98,"8","PLEK"
4.16238700262225e-96,2.92914479533399,0.466,0.098,8.59449668301443e-92,"8","NOP16"
4.26604788210155e-43,2.77643140140884,0.373,0.124,8.80853566696329e-39,"8","NME1"
2.07948707669126e-106,2.76653066769856,0.545,0.123,4.29372491595211e-102,"8","SEMA7A"
1.27169900612163e-74,2.7032788079053,0.559,0.178,2.62580410783995e-70,"8","FABP5"
8.99612334738634e-73,2.65584896441746,0.355,0.071,1.85751954876833e-68,"8","SLC9B2"
1.14651264581588e-60,2.65295145957077,0.373,0.091,2.36731931108063e-56,"8","ZBTB32"
1.13552161308691e-50,2.54124998856927,0.294,0.066,2.34462502670185e-46,"8","STEAP1B"
0,7.89281712161825,0.787,0.044,0,"9","IGHV4-55"
9.58354119473192e-256,7.38379522309837,0.968,0.178,1.97880958588825e-251,"9","IGHV4-31"
0,7.23358134154231,0.9,0.068,0,"9","IGHV4-28"
7.93323565261686e-272,6.38574352635264,0.973,0.162,1.63805449755233e-267,"9","IGHV4-61"
0,6.11286437240053,0.878,0.043,0,"9","AC233755.1"
7.62106389222454e-127,5.88530887241294,0.267,0.02,1.57359727246652e-122,"9","IGKV3D-15"
1.62828496784803e-09,4.47771787485956,0.81,0.57,3.3620828016126e-05,"9","IGKV3-15"
4.59036684423108e-26,4.36462262485445,0.52,0.2,9.47818945996833e-22,"9","IGKV1-17"
0,4.34774464151053,0.95,0.098,0,"9","IGHV4-59"
4.20745024226195e-05,4.28998025840046,0.258,0.14,0.868754326022248,"9","IGLV3-25"
0,6.08743191114639,0.989,0.085,0,"10","IGHV3-48"
9.26886414707379e-119,4.39484601297266,0.995,0.653,1.9138350690878e-114,"10","IGKV4-1"
4.58476769731959e-231,4.0932177066492,0.989,0.198,9.46662834142549e-227,"10","IGHV3-21"
4.11219208859637e-26,3.0970729355477,0.598,0.439,8.49085422453378e-22,"10","MT-ND6"
1.0315590957044e-102,2.92363235752354,0.307,0.029,2.12996322081045e-98,"10","IGHV3-13"
0.000190414351542066,2.35228847137642,0.259,0.196,1,"10","AL138963.4"
2.19902785829188e-13,2.33108893427532,0.534,0.496,4.54055272180107e-09,"10","MT-ATP8"
4.07833951546887e-71,2.23429755013357,0.91,0.819,8.42095543154013e-67,"10","MT-ND5"
6.42921086166518e-85,2.07710794809875,0.963,0.893,1.32750345871663e-80,"10","MTRNR2L12"
9.09018597445087e-77,1.55332258869517,0.894,0.534,1.87694160000461e-72,"10","IGHM"
4.91458270146747e-52,5.95000762883807,0.423,0.098,1.014763036199e-47,"11","IGHGP"
3.62669858948547e-92,5.7822955738251,0.349,0.041,7.48840724756959e-88,"11","CADPS2"
1.00117117693866e-45,5.53958403545068,0.417,0.106,2.06721824614294e-41,"11","IGHG4"
1.02140798817727e-06,5.41845063079388,0.303,0.188,0.0210900321398842,"11","IGLC3"
5.23719445085308e-199,5.40949189149096,0.88,0.151,1.08137591021214e-194,"11","FNDC3B"
5.49889898138625e-70,5.32022700707015,0.28,0.034,1.13541266167663e-65,"11","ACOXL"
5.30693216150907e-96,5.16079459544124,0.337,0.036,1.09577535270839e-91,"11","ESR1"
2.65596847680909e-08,4.95354755243714,0.623,0.538,0.000548404371091541,"11","IGHM"
5.26544481423302e-10,4.872181386676,0.314,0.163,1.08720904524283e-05,"11","IGLC2"
1.33261668822818e-09,4.64388159442134,0.291,0.143,2.75158693785354e-05,"11","IGLC1"
