"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.99419611110611e-32,1.10392099149684,0.457,0.184,6.1824161302119e-28,"7","PGLS"
3.58409944078655e-32,0.859619522095329,0.348,0.116,7.40044852533606e-28,"7","TIA1"
4.11704644059726e-32,0.864437269295869,0.612,0.285,8.50087749054523e-28,"7","RAB14"
4.21613625598682e-32,0.847032846835791,0.314,0.098,8.70547814136158e-28,"7","KCNQ5"
4.29558262743951e-32,1.04283159707933,0.571,0.257,8.86951900913709e-28,"7","RGPD2"
4.53590037616885e-32,0.864678271411568,0.581,0.261,9.36572709671344e-28,"7","DMXL1"
4.65482980721788e-32,0.934345377335722,0.457,0.18,9.61129258594348e-28,"7","SRI"
4.74834797547725e-32,0.668957473888961,0.46,0.178,9.80438889976542e-28,"7","PRKRA"
4.80550226416194e-32,0.853692242801566,0.382,0.133,9.92240107504157e-28,"7","GMFB"
5.52100957114018e-32,0.761497130855794,0.736,0.376,1.13997805624902e-27,"7","SELENOT"
5.52410536131881e-32,0.781060067942699,0.481,0.19,1.14061727500511e-27,"7","TOP2B"
5.60043888790827e-32,0.892169899838922,0.773,0.475,1.1563786215753e-27,"7","S100A10"
6.02963488622888e-32,0.984730456521655,0.335,0.108,1.24499901130854e-27,"7","CCNB1IP1"
6.07476783226915e-32,0.895751768180168,0.506,0.217,1.25431806200693e-27,"7","PSMA6"
6.45672281571619e-32,0.888278998923269,0.823,0.517,1.33318412698908e-27,"7","CD53"
6.78504286722505e-32,0.99483160467477,0.5,0.217,1.40097565122463e-27,"7","NANS"
7.0924112914188e-32,0.912194226038108,0.435,0.166,1.46444108345215e-27,"7","WIPI2"
7.26173309475921e-32,1.03442549863931,0.425,0.164,1.49940264940588e-27,"7","ACTN4"
7.35474629562545e-32,0.714602717620321,0.373,0.126,1.51860801512074e-27,"7","NELFCD"
7.60391690870664e-32,0.675668950171043,0.307,0.096,1.57005676330975e-27,"7","HAUS2"
8.09330938732872e-32,0.831566998365347,0.646,0.306,1.67110652229564e-27,"7","AKIRIN2"
8.21551441622172e-32,0.90180351771928,0.525,0.232,1.69633941666146e-27,"7","RAB5IF"
8.4599848665248e-32,0.995356838393232,0.441,0.173,1.74681767524004e-27,"7","MDM2"
8.82938372844819e-32,0.781374398323194,0.525,0.222,1.82309115224998e-27,"7","PSMB4"
9.24486954915494e-32,0.965353318161957,0.311,0.098,1.90888066450951e-27,"7","ZC3H18"
9.24922700697365e-32,1.24659794703189,0.363,0.131,1.90978039239992e-27,"7","ATP2A2"
9.66813600107059e-32,2.15832009346971,0.258,0.079,1.99627672150106e-27,"7","CEP128"
9.93053768138832e-32,0.892165923374635,0.413,0.154,2.05045742045306e-27,"7","ILK"
1.07701192179965e-31,0.928260982200915,0.407,0.147,2.22381421613192e-27,"7","NIBAN3"
1.3434871469116e-31,1.00364794714797,0.64,0.325,2.77403226094307e-27,"7","COPE"
1.52294591551775e-31,0.867880700050579,0.432,0.168,3.14457872636105e-27,"7","LSM4"
1.53371810670355e-31,1.29122668889466,0.323,0.111,3.16682114672148e-27,"7","NDUFS3"
1.54967733320979e-31,0.897382632016,0.596,0.277,3.19977375761157e-27,"7","PPM1G"
1.71822126891888e-31,0.811681355350257,0.761,0.45,3.5477832760637e-27,"7","PSMA7"
1.72294755189169e-31,1.03542349583126,0.534,0.236,3.55754210514597e-27,"7","MAN2A1"
1.92477561446595e-31,0.761944910795966,0.54,0.226,3.97427668874929e-27,"7","DIAPH1"
1.96525038970557e-31,0.647495485978291,0.429,0.16,4.05784900466406e-27,"7","CDC27"
2.00789631941988e-31,1.02730425228389,0.314,0.102,4.14590432033816e-27,"7","TRAPPC9"
2.09940227504182e-31,0.757478815793452,0.382,0.135,4.33484581750634e-27,"7","PSPC1"
2.16687934526684e-31,1.08901443591717,0.339,0.118,4.47417247210696e-27,"7","STOML2"
2.25123798070688e-31,1.09166668520156,0.311,0.101,4.64835618256356e-27,"7","MRPL4"
2.25722818817223e-31,0.761673558155217,0.407,0.153,4.66072476293802e-27,"7","MRPS15"
2.34555457395183e-31,0.874456186878891,0.342,0.116,4.84310108429574e-27,"7","ACTR10"
