"clone_subgroup_id","size","n_cluster","clusters"
"1367_1",1,1,"NAIVE 2"
"1368_1",1,1,"ASC 3"
"1369_1",1,1,"ASC 2"
"136_1",1,1,"ASC 3"
"1370_1",1,1,"Early-Activation"
"1371_1",1,1,"Cell-Cycling"
"1372_1",1,1,"Cell-Cycling"
"1373_1",1,1,"NAIVE 2"
"1374_1",1,1,"ASC 2"
"1375_1",1,1,"ASC 3"
"1376_1",1,1,"ASC 2"
"1377_1",1,1,"ASC 3"
"1378_1",1,1,"ASC 3"
"1379_1",1,1,"NAIVE 2"
"137_1",1,1,"ASC 1"
"1380_1",1,1,"ASC 1"
"1381_1",1,1,"ASC 2"
"1382_1",1,1,"Cell-Cycling"
"1383_1",1,1,"IgD-ve Memory"
"1384_1",1,1,"ASC 2"
"1385_1",1,1,"NAIVE 2"
"1386_2",1,1,"IgD+ve Memory"
"1386_3",1,1,"NAIVE 1"
"1387_1",1,1,"NAIVE 2"
"1388_1",1,1,"ASC 2"
"1389_1",1,1,"ASC 2"
"138_1",1,1,"Cell-Cycling"
"1390_1",1,1,"ASC 2"
"1391_1",1,1,"IgD-ve Memory"
"1392_1",1,1,"HSP+"
"1393_1",1,1,"ASC 2"
"1394_1",1,1,"NAIVE 1"
"1395_1",1,1,"IgD+ve Memory"
"1396_1",1,1,"IgD-ve Memory"
"1397_1",1,1,"NAIVE 2"
"1398_1",1,1,"ASC 2"
"1399_1",1,1,"NAIVE 1"
"139_1",1,1,"IgD+ve Memory"
"13_1",1,1,"ASC 2"
"1400_1",1,1,"NAIVE 1"
"1401_1",1,1,"IgD-ve Memory"
"1403_1",1,1,"ASC 2"
"1404_1",1,1,"NAIVE 1"
"1406_1",1,1,"ASC 2"
"1407_1",1,1,"IgD-ve Memory"
"1408_1",1,1,"ASC 2"
"1409_1",1,1,"ASC 2"
"1410_1",1,1,"NAIVE 1"
"1411_1",1,1,"IgD+ve Memory"
"1412_1",1,1,"IgD-ve Memory"
"1413_1",1,1,"NAIVE 2"
"1414_1",1,1,"IgD-ve Memory"
"1415_1",1,1,"IgD+ve Memory"
"1416_1",1,1,"IgD-ve Memory"
"1417_1",1,1,"ASC 2"
"1418_1",1,1,"ASC 2"
"1419_1",1,1,"IgD-ve Memory"
"141_1",1,1,"NAIVE 1"
"1421_1",1,1,"IgD-ve Memory"
"1423_1",1,1,"ASC 2"
"1424_1",1,1,"IgD-ve Memory"
"1425_1",1,1,"NAIVE 1"
"1427_1",1,1,"NAIVE 1"
"1429_1",1,1,"IgD+ve Memory"
"142_1",1,1,"ASC 2"
"1430_2",1,1,"IgD+ve Memory"
"1431_1",1,1,"ASC 2"
"1432_1",1,1,"IgD-ve Memory"
"1433_1",1,1,"NAIVE 2"
"1434_1",1,1,"IgD-ve Memory"
"1435_1",1,1,"Early-Activation"
"1436_1",1,1,"NAIVE 1"
"1437_1",1,1,"IgD-ve Memory"
"1438_1",1,1,"IgD-ve Memory"
"1439_1",1,1,"IgD+ve Memory"
"143_1",1,1,"Cell-Cycling"
"1440_1",1,1,"NAIVE 1"
"1441_1",1,1,"IgD-ve Memory"
"1442_1",1,1,"IgD-ve Memory"
"1443_1",1,1,"IgD-ve Memory"
"1444_1",1,1,"ASC 3"
"1445_1",1,1,"NAIVE 1"
"1447_1",1,1,"IgD+ve Memory"
"1447_2",1,1,"IgD-ve Memory"
"1448_1",1,1,"IgD+ve Memory"
"1449_1",1,1,"DN2"
"144_1",1,1,"NAIVE 1"
"1450_1",1,1,"NAIVE 2"
"1451_1",1,1,"NAIVE 2"
"1452_1",1,1,"ASC 2"
"1453_1",1,1,"IgD+ve Memory"
"1454_1",1,1,"ASC 2"
"1455_1",1,1,"ASC 3"
"1456_1",1,1,"ASC 2"
"1457_1",1,1,"ASC 2"
"1458_1",1,1,"NAIVE 1"
"1459_1",1,1,"NAIVE 1"
"145_1",1,1,"ASC 2"
"1460_1",1,1,"IgD-ve Memory"
"1461_1",1,1,"NAIVE 1"
"1462_1",1,1,"Cell-Cycling"
"1463_1",1,1,"ASC 2"
"1464_1",1,1,"Cell-Cycling"
"1465_1",1,1,"NAIVE 1"
"1466_1",1,1,"ASC 2"
"1467_1",1,1,"ASC 2"
"1468_1",1,1,"IgD+ve Memory"
"1469_1",1,1,"ASC 2"
"146_1",1,1,"IgD-ve Memory"
"1470_1",1,1,"IgD+ve Memory"
"1471_1",1,1,"ASC 2"
"1472_1",1,1,"IgD-ve Memory"
"1474_1",1,1,"NAIVE 2"
"1475_1",1,1,"NAIVE 1"
"1476_1",1,1,"ASC 2"
"1477_1",1,1,"NAIVE 2"
"1478_1",1,1,"IgD+ve Memory"
"147_1",1,1,"NAIVE 1"
"1480_1",1,1,"IgD+ve Memory"
"1481_1",1,1,"NAIVE 1"
"1482_1",1,1,"DN2"
"1483_1",1,1,"NAIVE 1"
"1484_1",1,1,"NAIVE 1"
"1485_1",1,1,"ASC 2"
"1486_1",1,1,"ASC 2"
"1488_1",1,1,"NAIVE 1"
"1489_1",1,1,"ASC 2"
"148_1",1,1,"Early-Activation"
"1491_1",1,1,"ASC 2"
"1492_1",1,1,"IgD-ve Memory"
"1493_1",1,1,"IgD-ve Memory"
"1495_1",1,1,"ASC 2"
"1497_1",1,1,"Early-Activation"
"1499_1",1,1,"IgD+ve Memory"
"149_1",1,1,"ASC 2"
"14_1",1,1,"IgD-ve Memory"
"1501_1",1,1,"ASC 2"
"1502_1",1,1,"ASC 2"
"1503_1",1,1,"IgD-ve Memory"
"1504_1",1,1,"NAIVE 1"
"1505_1",1,1,"NAIVE 1"
"1505_2",1,1,"IgD+ve Memory"
"1505_3",1,1,"NAIVE 2"
"1505_4",1,1,"Early-Activation"
"1506_1",1,1,"ASC 2"
"1507_1",1,1,"DN2"
"1509_1",1,1,"IgD+ve Memory"
"150_1",1,1,"IgD+ve Memory"
"1510_1",1,1,"ASC 2"
"1511_1",1,1,"Cell-Cycling"
"1512_1",1,1,"ASC 2"
"1513_1",1,1,"ASC 2"
"1514_1",1,1,"HSP+"
"1515_1",1,1,"IgD+ve Memory"
"1516_1",1,1,"NAIVE 1"
"1519_1",1,1,"ASC 2"
"151_1",1,1,"NAIVE 1"
"1520_1",1,1,"ASC 2"
"1521_1",1,1,"ASC 2"
"1522_1",1,1,"ASC 3"
"1523_1",1,1,"HSP+"
"1524_1",1,1,"ASC 2"
"1525_1",1,1,"NAIVE 1"
"1526_1",1,1,"ASC 2"
"1527_1",1,1,"IgD-ve Memory"
"1528_1",1,1,"ASC 2"
"1529_1",1,1,"IgD-ve Memory"
"1529_2",1,1,"Early-Activation"
"1529_3",1,1,"NAIVE 2"
"1529_4",1,1,"IgD+ve Memory"
"1529_5",1,1,"NAIVE 2"
"152_1",1,1,"NAIVE 1"
"152_2",1,1,"IgD-ve Memory"
"1530_1",1,1,"ASC 2"
"1531_1",1,1,"ASC 2"
"1532_1",1,1,"IgD-ve Memory"
"1533_1",1,1,"ASC 3"
"1534_1",1,1,"NAIVE 2"
"1535_1",1,1,"IgD-ve Memory"
"1539_1",1,1,"NAIVE 1"
"153_1",1,1,"NAIVE 1"
"1541_1",1,1,"IgD-ve Memory"
"1542_1",1,1,"NAIVE 2"
"1543_1",1,1,"NAIVE 2"
"1544_1",1,1,"IgD+ve Memory"
"1545_1",1,1,"ASC 2"
"1546_1",1,1,"ASC 2"
"1547_1",1,1,"IgD+ve Memory"
"1548_1",1,1,"ASC 2"
"1549_1",1,1,"ASC 1"
"154_1",1,1,"NAIVE 2"
"1550_1",1,1,"IgD+ve Memory"
"1551_1",1,1,"IgD+ve Memory"
"1552_1",1,1,"NAIVE 2"
"1553_1",1,1,"ASC 2"
"1554_1",1,1,"IgD+ve Memory"
"1558_1",1,1,"NAIVE 2"
"1559_1",1,1,"NAIVE 1"
"1561_1",1,1,"ASC 2"
"1562_1",1,1,"IgD+ve Memory"
"1563_1",1,1,"Early-Activation"
"1564_1",1,1,"ASC 2"
"1565_1",1,1,"NAIVE 1"
"1566_1",1,1,"NAIVE 1"
"1567_1",1,1,"IgD+ve Memory"
"1567_2",1,1,"IgD+ve Memory"
"1567_3",1,1,"IgD+ve Memory"
"1568_1",1,1,"ASC 2"
"1569_1",1,1,"IgD-ve Memory"
"156_1",1,1,"IgD-ve Memory"
"1570_1",1,1,"ASC 2"
"1571_1",1,1,"DN2"
"1572_1",1,1,"Cell-Cycling"
"1573_1",1,1,"NAIVE 2"
"1574_1",1,1,"IgD+ve Memory"
"1575_1",1,1,"NAIVE 2"
"1576_1",1,1,"IgD+ve Memory"
"1577_1",1,1,"IgD-ve Memory"
"1578_1",1,1,"ASC 3"
"1578_2",1,1,"ASC 3"
"1579_1",1,1,"ASC 2"
"157_2",1,1,"IgD-ve Memory"
"1580_1",1,1,"ASC 1"
"1581_1",1,1,"IgD-ve Memory"
"1582_1",1,1,"HSP+"
"1583_1",1,1,"IgD-ve Memory"
"1584_1",1,1,"ASC 2"
"1585_1",1,1,"IgD-ve Memory"
"1588_1",1,1,"IgD+ve Memory"
"1589_1",1,1,"ASC 2"
"158_1",1,1,"ASC 3"
"1590_1",1,1,"NAIVE 2"
"1591_1",1,1,"Cell-Cycling"
"1593_1",1,1,"ASC 2"
"1594_1",1,1,"NAIVE 1"
"1595_1",1,1,"ASC 2"
"1596_1",1,1,"IgD+ve Memory"
"1597_1",1,1,"ASC 2"
"1599_1",1,1,"IgD-ve Memory"
"159_1",1,1,"NAIVE 1"
"15_1",1,1,"IgD+ve Memory"
"1600_1",1,1,"ASC 3"
"1601_1",1,1,"IgD+ve Memory"
"1602_1",1,1,"IgD-ve Memory"
"1604_1",1,1,"ASC 2"
"1605_1",1,1,"ASC 2"
"1606_1",1,1,"NAIVE 2"
"1607_1",1,1,"HSP+"
"1609_1",1,1,"ASC 2"
"1610_1",1,1,"NAIVE 1"
"1611_1",1,1,"ASC 2"
"1612_1",1,1,"NAIVE 2"
"1613_1",1,1,"Cell-Cycling"
"1614_1",1,1,"IgD-ve Memory"
"1615_1",1,1,"ASC 2"
"1616_1",1,1,"NAIVE 1"
"1617_1",1,1,"Early-Activation"
"1618_1",1,1,"IgD-ve Memory"
"161_1",1,1,"Cell-Cycling"
"1620_1",1,1,"ASC 2"
"1621_1",1,1,"NAIVE 1"
"1623_1",1,1,"NAIVE 1"
"1624_1",1,1,"ASC 2"
"1625_1",1,1,"ASC 1"
"1626_1",1,1,"IgD-ve Memory"
"1627_1",1,1,"ASC 1"
"1628_1",1,1,"NAIVE 2"
"1629_1",1,1,"ASC 2"
"162_1",1,1,"ASC 2"
"1630_1",1,1,"NAIVE 1"
"1631_1",1,1,"HSP+"
"1632_1",1,1,"NAIVE 1"
"1633_1",1,1,"IgD-ve Memory"
"1634_1",1,1,"NAIVE 1"
"1635_1",1,1,"ASC 2"
"1636_1",1,1,"NAIVE 1"
"1637_1",1,1,"ASC 1"
"1638_1",1,1,"IgD-ve Memory"
"1639_1",1,1,"Cell-Cycling"
"163_1",1,1,"IgD+ve Memory"
"1640_1",1,1,"NAIVE 1"
"1641_1",1,1,"NAIVE 1"
"1642_1",1,1,"IgD+ve Memory"
"1643_1",1,1,"NAIVE 2"
"1644_1",1,1,"ASC 3"
"1645_1",1,1,"IgD+ve Memory"
"1647_1",1,1,"NAIVE 2"
"1648_1",1,1,"NAIVE 2"
"1649_1",1,1,"ASC 2"
"164_1",1,1,"IgD-ve Memory"
"1650_1",1,1,"IgD+ve Memory"
"1650_2",1,1,"IgD+ve Memory"
"1651_1",1,1,"IgD+ve Memory"
"1652_1",1,1,"ASC 2"
"1653_1",1,1,"IgD+ve Memory"
"1654_1",1,1,"IgD-ve Memory"
"1655_1",1,1,"IgD+ve Memory"
"1656_1",1,1,"IgD-ve Memory"
"1657_2",1,1,"NAIVE 1"
"1658_1",1,1,"IgD+ve Memory"
"165_1",1,1,"ASC 1"
"1660_1",1,1,"NAIVE 2"
"1661_1",1,1,"NAIVE 1"
"1662_1",1,1,"ASC 1"
"1663_1",1,1,"ASC 2"
"1664_1",1,1,"NAIVE 2"
"1665_1",1,1,"ASC 2"
"1666_1",1,1,"IgD+ve Memory"
"1668_1",1,1,"HSP+"
"1669_1",1,1,"ASC 2"
"166_1",1,1,"IgD+ve Memory"
"1670_1",1,1,"IgD-ve Memory"
"1671_1",1,1,"NAIVE 1"
"1672_1",1,1,"NAIVE 2"
"1673_1",1,1,"NAIVE 1"
"1674_1",1,1,"ASC 2"
"1675_1",1,1,"IgD-ve Memory"
"1676_1",1,1,"IgD-ve Memory"
"1677_1",1,1,"IgD-ve Memory"
"1678_1",1,1,"IgD+ve Memory"
"1679_2",1,1,"NAIVE 1"
"167_1",1,1,"NAIVE 1"
"1680_1",1,1,"NAIVE 1"
"1681_1",1,1,"NAIVE 2"
"1682_1",1,1,"NAIVE 2"
"1683_1",1,1,"IgD+ve Memory"
"1686_1",1,1,"ASC 2"
"1687_1",1,1,"Cell-Cycling"
"1688_1",1,1,"IgD-ve Memory"
"168_1",1,1,"ASC 2"
"1690_1",1,1,"ASC 2"
"1691_1",1,1,"NAIVE 2"
"1692_1",1,1,"NAIVE 1"
"1693_1",1,1,"ASC 2"
"1694_1",1,1,"NAIVE 2"
"1695_1",1,1,"NAIVE 1"
"1696_1",1,1,"IgD-ve Memory"
"1697_1",1,1,"ASC 2"
"1698_1",1,1,"NAIVE 1"
"1699_1",1,1,"NAIVE 2"
"169_1",1,1,"IgD+ve Memory"
"16_1",1,1,"NAIVE 1"
"1700_1",1,1,"ASC 3"
"1701_1",1,1,"ASC 2"
"1702_1",1,1,"NAIVE 2"
"1704_1",1,1,"ASC 1"
"1705_1",1,1,"IgD-ve Memory"
"1706_1",1,1,"IgD-ve Memory"
"1709_1",1,1,"NAIVE 2"
"170_1",1,1,"ASC 2"
"1710_1",1,1,"ASC 2"
"1711_1",1,1,"IgD+ve Memory"
"1712_1",1,1,"NAIVE 2"
"1713_1",1,1,"NAIVE 2"
"1714_1",1,1,"NAIVE 1"
"1715_1",1,1,"NAIVE 1"
"1716_1",1,1,"ASC 2"
"1717_1",1,1,"NAIVE 2"
"1718_1",1,1,"ASC 2"
"1719_1",1,1,"ASC 1"
"171_1",1,1,"IgD+ve Memory"
"1720_1",1,1,"NAIVE 2"
"1721_1",1,1,"Early-Activation"
"1722_1",1,1,"ASC 3"
"1723_1",1,1,"ASC 2"
"1724_1",1,1,"ASC 2"
"1725_1",1,1,"ASC 2"
"1726_1",1,1,"ASC 1"
"1727_1",1,1,"ASC 2"
"1728_1",1,1,"Early-Activation"
"1729_1",1,1,"NAIVE 1"
"172_1",1,1,"ASC 1"
"1730_1",1,1,"NAIVE 1"
"1731_1",1,1,"NAIVE 2"
"1733_1",1,1,"ASC 3"
"1734_1",1,1,"NAIVE 1"
"1736_1",1,1,"ASC 2"
"1737_1",1,1,"ASC 2"
"1738_1",1,1,"ASC 2"
"173_1",1,1,"ASC 2"
"1740_1",1,1,"IgD-ve Memory"
"1741_1",1,1,"Cell-Cycling"
"1742_1",1,1,"IgD-ve Memory"
"1743_1",1,1,"NAIVE 2"
"1745_1",1,1,"NAIVE 1"
"1746_1",1,1,"ASC 2"
"1747_1",1,1,"IgD-ve Memory"
"1748_1",1,1,"NAIVE 2"
"174_1",1,1,"ASC 2"
"1750_1",1,1,"ASC 2"
"1751_1",1,1,"NAIVE 2"
"1752_1",1,1,"ASC 2"
"1753_1",1,1,"Early-Activation"
"1754_1",1,1,"Cell-Cycling"
"1755_1",1,1,"ASC 3"
"1757_1",1,1,"ASC 2"
"1757_2",1,1,"ASC 2"
"1758_1",1,1,"NAIVE 1"
"1759_2",1,1,"IgD+ve Memory"
"1760_1",1,1,"DN2"
"1761_1",1,1,"NAIVE 1"
"1762_1",1,1,"NAIVE 1"
"1765_1",1,1,"ASC 2"
"1766_1",1,1,"IgD+ve Memory"
"1766_2",1,1,"IgD+ve Memory"
"1767_1",1,1,"ASC 2"
"1768_1",1,1,"NAIVE 1"
"1769_1",1,1,"ASC 2"
"176_1",1,1,"ASC 2"
"1770_1",1,1,"NAIVE 1"
"1771_1",1,1,"ASC 2"
"1772_1",1,1,"ASC 2"
"1774_1",1,1,"ASC 2"
"1775_1",1,1,"NAIVE 1"
"1776_1",1,1,"ASC 2"
"1777_1",1,1,"ASC 3"
"1778_1",1,1,"ASC 2"
"1781_1",1,1,"NAIVE 2"
"1783_1",1,1,"ASC 2"
"1784_1",1,1,"IgD-ve Memory"
"1785_1",1,1,"IgD+ve Memory"
"1787_1",1,1,"ASC 2"
"1788_1",1,1,"Cell-Cycling"
"1789_1",1,1,"DN2"
"178_1",1,1,"ASC 2"
"1791_1",1,1,"NAIVE 1"
"1792_1",1,1,"IgD+ve Memory"
"1793_1",1,1,"ASC 2"
"1794_1",1,1,"NAIVE 2"
"1795_1",1,1,"NAIVE 2"
"1797_1",1,1,"ASC 2"
"1798_1",1,1,"ASC 2"
"179_1",1,1,"NAIVE 1"
"1801_1",1,1,"ASC 2"
"1801_2",1,1,"ASC 2"
"1802_1",1,1,"ASC 2"
"1804_1",1,1,"ASC 2"
"1805_1",1,1,"ASC 2"
"1807_1",1,1,"ASC 2"
"1808_1",1,1,"ASC 2"
"1809_1",1,1,"ASC 2"
"180_1",1,1,"IgD-ve Memory"
"1810_1",1,1,"ASC 2"
"1811_1",1,1,"IgD+ve Memory"
"1811_2",1,1,"IgD+ve Memory"
"1811_3",1,1,"NAIVE 2"
"1812_1",1,1,"ASC 2"
"1813_1",1,1,"NAIVE 2"
"1814_1",1,1,"IgD-ve Memory"
"1815_1",1,1,"DN2"
"1816_2",1,1,"IgD-ve Memory"
"1817_1",1,1,"ASC 2"
"1818_1",1,1,"NAIVE 1"
"1819_1",1,1,"IgD-ve Memory"
"181_1",1,1,"NAIVE 2"
"1820_1",1,1,"NAIVE 2"
"1821_1",1,1,"NAIVE 1"
"1822_1",1,1,"ASC 3"
"1823_1",1,1,"ASC 2"
"1824_1",1,1,"IgD-ve Memory"
"1825_1",1,1,"IgD-ve Memory"
"1827_1",1,1,"IgD+ve Memory"
"1827_2",1,1,"IgD+ve Memory"
"1828_1",1,1,"IgD+ve Memory"
"1829_1",1,1,"IgD+ve Memory"
"1829_2",1,1,"IgD+ve Memory"
"1829_3",1,1,"IgD+ve Memory"
"1829_4",1,1,"ASC 1"
"182_1",1,1,"ASC 2"
"1830_1",1,1,"IgD-ve Memory"
"1831_1",1,1,"IgD+ve Memory"
"1832_1",1,1,"IgD+ve Memory"
"1833_2",1,1,"IgD+ve Memory"
"1834_1",1,1,"IgD+ve Memory"
"1835_1",1,1,"NAIVE 1"
"1836_1",1,1,"NAIVE 1"
"1837_1",1,1,"ASC 2"
"1838_1",1,1,"NAIVE 1"
"1839_1",1,1,"ASC 2"
"183_1",1,1,"IgD-ve Memory"
"1840_1",1,1,"IgD+ve Memory"
"1841_1",1,1,"IgD+ve Memory"
"1842_1",1,1,"IgD-ve Memory"
"1843_1",1,1,"ASC 2"
"1844_2",1,1,"IgD+ve Memory"
"1844_3",1,1,"IgD+ve Memory"
"1844_4",1,1,"HSP+"
"1844_5",1,1,"IgD+ve Memory"
"1844_6",1,1,"IgD+ve Memory"
"1846_1",1,1,"ASC 2"
"1847_1",1,1,"IgD-ve Memory"
"1848_1",1,1,"NAIVE 2"
"1849_1",1,1,"ASC 2"
"184_1",1,1,"IgD+ve Memory"
"1850_1",1,1,"HSP+"
"1851_1",1,1,"ASC 2"
"1852_1",1,1,"NAIVE 2"
"1853_1",1,1,"NAIVE 2"
"1854_1",1,1,"NAIVE 2"
"1855_1",1,1,"IgD+ve Memory"
"1856_1",1,1,"IgD+ve Memory"
"1858_2",1,1,"NAIVE 1"
"185_1",1,1,"IgD+ve Memory"
"1860_1",1,1,"NAIVE 1"
"1861_1",1,1,"NAIVE 2"
"1862_1",1,1,"ASC 2"
"1864_1",1,1,"ASC 1"
"1865_1",1,1,"NAIVE 2"
"1866_1",1,1,"ASC 3"
"1867_1",1,1,"NAIVE 1"
"1868_1",1,1,"ASC 2"
"1869_1",1,1,"IgD+ve Memory"
"186_1",1,1,"NAIVE 2"
"1870_1",1,1,"ASC 2"
"1871_1",1,1,"ASC 2"
"1872_1",1,1,"NAIVE 1"
"1873_1",1,1,"NAIVE 1"
"1874_1",1,1,"NAIVE 2"
"1875_1",1,1,"NAIVE 2"
"1876_1",1,1,"ASC 2"
"1877_1",1,1,"ASC 3"
"1878_1",1,1,"IgD-ve Memory"
"1879_1",1,1,"NAIVE 1"
"187_1",1,1,"ASC 1"
"1880_1",1,1,"NAIVE 2"
"1881_1",1,1,"Cell-Cycling"
"1882_1",1,1,"ASC 2"
"1883_1",1,1,"NAIVE 1"
"1884_1",1,1,"IgD+ve Memory"
"1885_1",1,1,"NAIVE 1"
"1886_1",1,1,"NAIVE 2"
"1887_1",1,1,"ASC 2"
"1888_1",1,1,"NAIVE 1"
"1889_1",1,1,"NAIVE 1"
"188_1",1,1,"DN2"
"1890_1",1,1,"NAIVE 1"
"1891_1",1,1,"NAIVE 2"
"1893_1",1,1,"IgD-ve Memory"
"1895_1",1,1,"IgD-ve Memory"
"1896_1",1,1,"NAIVE 2"
"1897_1",1,1,"ASC 2"
"189_1",1,1,"ASC 1"
"18_1",1,1,"Cell-Cycling"
"190_1",1,1,"ASC 2"
"191_1",1,1,"ASC 3"
"193_1",1,1,"ASC 2"
"194_1",1,1,"ASC 2"
"195_1",1,1,"NAIVE 1"
"196_1",1,1,"NAIVE 2"
"197_1",1,1,"IgD+ve Memory"
"198_1",1,1,"ASC 2"
"199_1",1,1,"ASC 2"
"19_1",1,1,"IgD-ve Memory"
"1_1",1,1,"ASC 2"
"200_1",1,1,"ASC 2"
"201_1",1,1,"ASC 2"
"202_1",1,1,"Early-Activation"
"203_1",1,1,"NAIVE 1"
"204_1",1,1,"IgD+ve Memory"
"205_1",1,1,"ASC 2"
"206_1",1,1,"NAIVE 2"
"208_1",1,1,"ASC 2"
"209_1",1,1,"IgD-ve Memory"
"20_1",1,1,"Early-Activation"
"210_2",1,1,"Cell-Cycling"
"211_1",1,1,"NAIVE 1"
"212_1",1,1,"IgD-ve Memory"
"213_1",1,1,"NAIVE 2"
"214_1",1,1,"ASC 2"
"215_1",1,1,"NAIVE 2"
"216_1",1,1,"NAIVE 1"
"217_1",1,1,"ASC 2"
"218_1",1,1,"NAIVE 1"
"219_1",1,1,"IgD+ve Memory"
"21_1",1,1,"IgD+ve Memory"
"220_1",1,1,"IgD-ve Memory"
"221_1",1,1,"ASC 2"
"222_1",1,1,"IgD-ve Memory"
"223_1",1,1,"NAIVE 1"
"224_1",1,1,"IgD-ve Memory"
"225_1",1,1,"IgD-ve Memory"
"226_1",1,1,"IgD+ve Memory"
"227_1",1,1,"Cell-Cycling"
"228_1",1,1,"NAIVE 2"
"22_1",1,1,"ASC 2"
"230_1",1,1,"IgD-ve Memory"
"231_1",1,1,"IgD-ve Memory"
"232_1",1,1,"NAIVE 1"
"233_1",1,1,"IgD-ve Memory"
"234_1",1,1,"IgD-ve Memory"
"236_1",1,1,"ASC 2"
"237_1",1,1,"ASC 2"
"238_1",1,1,"IgD+ve Memory"
"239_1",1,1,"NAIVE 2"
"23_1",1,1,"IgD+ve Memory"
"240_1",1,1,"IgD-ve Memory"
"241_1",1,1,"ASC 2"
"242_1",1,1,"NAIVE 1"
"243_1",1,1,"Early-Activation"
"244_1",1,1,"ASC 2"
"245_1",1,1,"NAIVE 2"
"246_1",1,1,"ASC 1"
"247_1",1,1,"ASC 3"
"248_1",1,1,"Cell-Cycling"
"249_1",1,1,"NAIVE 2"
"24_1",1,1,"IgD+ve Memory"
"250_1",1,1,"ASC 2"
"251_1",1,1,"ASC 2"
"252_1",1,1,"Cell-Cycling"
"253_1",1,1,"NAIVE 2"
"256_1",1,1,"Cell-Cycling"
"257_1",1,1,"NAIVE 1"
"259_1",1,1,"NAIVE 2"
"260_1",1,1,"NAIVE 1"
"261_1",1,1,"ASC 2"
"263_1",1,1,"Cell-Cycling"
"264_1",1,1,"ASC 2"
"265_1",1,1,"Early-Activation"
"266_1",1,1,"NAIVE 2"
"268_1",1,1,"ASC 2"
"269_1",1,1,"IgD-ve Memory"
"26_1",1,1,"NAIVE 1"
"271_1",1,1,"IgD+ve Memory"
"272_1",1,1,"ASC 2"
"273_1",1,1,"NAIVE 2"
"274_1",1,1,"IgD-ve Memory"
"276_1",1,1,"ASC 2"
"277_1",1,1,"NAIVE 1"
"278_1",1,1,"IgD-ve Memory"
"27_1",1,1,"NAIVE 1"
"280_1",1,1,"IgD-ve Memory"
"281_1",1,1,"ASC 2"
"282_1",1,1,"ASC 1"
"283_1",1,1,"IgD+ve Memory"
"284_1",1,1,"ASC 2"
"285_1",1,1,"IgD+ve Memory"
"286_1",1,1,"IgD-ve Memory"
"287_1",1,1,"NAIVE 1"
"288_1",1,1,"ASC 2"
"289_1",1,1,"NAIVE 2"
"28_1",1,1,"IgD+ve Memory"
"290_1",1,1,"NAIVE 1"
"291_1",1,1,"IgD+ve Memory"
"292_1",1,1,"IgD+ve Memory"
"293_1",1,1,"IgD-ve Memory"
"294_1",1,1,"Early-Activation"
"295_1",1,1,"ASC 2"
"296_1",1,1,"ASC 2"
"298_1",1,1,"IgD-ve Memory"
"299_1",1,1,"NAIVE 1"
"29_1",1,1,"IgD-ve Memory"
"2_1",1,1,"ASC 2"
"300_1",1,1,"ASC 2"
"301_1",1,1,"NAIVE 2"
"302_1",1,1,"ASC 3"
"303_1",1,1,"ASC 2"
"304_1",1,1,"ASC 2"
"305_1",1,1,"ASC 2"
"306_1",1,1,"Early-Activation"
"307_1",1,1,"ASC 1"
"308_1",1,1,"Cell-Cycling"
"309_1",1,1,"ASC 2"
"30_1",1,1,"IgD+ve Memory"
"310_1",1,1,"ASC 2"
"311_1",1,1,"IgD-ve Memory"
"312_1",1,1,"ASC 2"
"313_1",1,1,"ASC 3"
"314_1",1,1,"IgD-ve Memory"
"316_1",1,1,"ASC 2"
"319_1",1,1,"IgD-ve Memory"
"320_1",1,1,"IgD+ve Memory"
"321_1",1,1,"ASC 2"
"322_1",1,1,"NAIVE 1"
"325_1",1,1,"NAIVE 1"
"326_1",1,1,"NAIVE 2"
"327_1",1,1,"NAIVE 1"
"328_1",1,1,"NAIVE 2"
"329_1",1,1,"ASC 2"
"32_2",1,1,"IgD+ve Memory"
"330_1",1,1,"ASC 2"
"331_1",1,1,"ASC 2"
"332_1",1,1,"ASC 2"
"334_1",1,1,"NAIVE 1"
"335_1",1,1,"ASC 2"
"336_1",1,1,"Cell-Cycling"
"338_1",1,1,"Early-Activation"
"339_1",1,1,"Cell-Cycling"
"33_1",1,1,"NAIVE 2"
"340_1",1,1,"NAIVE 1"
"341_1",1,1,"ASC 2"
"342_1",1,1,"NAIVE 2"
"344_1",1,1,"ASC 2"
"345_1",1,1,"ASC 2"
"346_1",1,1,"IgD-ve Memory"
"347_1",1,1,"ASC 2"
"348_1",1,1,"IgD-ve Memory"
"349_1",1,1,"ASC 2"
"34_1",1,1,"IgD-ve Memory"
"350_1",1,1,"IgD-ve Memory"
"351_1",1,1,"ASC 2"
"352_1",1,1,"ASC 2"
"353_1",1,1,"IgD-ve Memory"
"354_1",1,1,"IgD-ve Memory"
"355_1",1,1,"ASC 1"
"357_1",1,1,"ASC 2"
"358_1",1,1,"ASC 2"
"359_1",1,1,"ASC 2"
"35_1",1,1,"NAIVE 2"
"360_1",1,1,"NAIVE 2"
"361_1",1,1,"Early-Activation"
"362_1",1,1,"ASC 2"
"363_1",1,1,"ASC 2"
"364_1",1,1,"NAIVE 1"
"366_1",1,1,"IgD+ve Memory"
"369_1",1,1,"IgD+ve Memory"
"36_1",1,1,"NAIVE 1"
"371_1",1,1,"NAIVE 2"
