"clone_subgroup_id","gex_annotation","N","mean_SHM","median_SHM","sd_SHM"
"1172_1","ASC 2",1,0.0174418604651163,0.0174418604651163,NA
"1173_1","IgD+ve Memory",1,0.0292397660818713,0.0292397660818713,NA
"1174_1","NAIVE 1",1,0.0614035087719298,0.0614035087719298,NA
"1175_1","ASC 2",2,0.0939882697947214,0.0939882697947214,0.00850187038963298
"1176_1","Early-Activation",1,0,0,NA
"1177_1","ASC 2",1,0.0695652173913043,0.0695652173913043,NA
"1178_1","IgD-ve Memory",1,0.00882352941176471,0.00882352941176471,NA
"1179_1","IgD-ve Memory",1,0.0382352941176471,0.0382352941176471,NA
"1179_2","ASC 2",1,0.00882352941176471,0.00882352941176471,NA
"1179_3","IgD+ve Memory",1,0.0382352941176471,0.0382352941176471,NA
"117_1","IgD+ve Memory",2,0.0297619047619048,0.0297619047619048,0
"1180_1","HSP+",1,0.0502958579881657,0.0502958579881657,NA
"1181_1","NAIVE 1",1,0.0148809523809524,0.0148809523809524,NA
"1182_1","IgD-ve Memory",1,0.0985074626865672,0.0985074626865672,NA
"1183_1","IgD+ve Memory",1,0.0504451038575668,0.0504451038575668,NA
"1184_1","ASC 2",1,0.023121387283237,0.023121387283237,NA
"1185_1","ASC 2",1,0.023121387283237,0.023121387283237,NA
"1186_1","NAIVE 2",1,0,0,NA
"1187_1","NAIVE 1",1,0.0289017341040462,0.0289017341040462,NA
"1188_1","NAIVE 1",1,0,0,NA
"1189_1","ASC 3",1,0.0117647058823529,0.0117647058823529,NA
"118_1","ASC 2",9,0.0706771860618014,0.0739644970414201,0.00652305550065235
"1190_1","ASC 2",2,0.0464788732394366,0.0464788732394366,0.013942950614946
"1191_1","ASC 2",1,0.0793201133144476,0.0793201133144476,NA
"1192_1","ASC 1",1,0.0342857142857143,0.0342857142857143,NA
"1193_1","NAIVE 1",1,0.0617647058823529,0.0617647058823529,NA
"1194_1","ASC 3",1,0.0116279069767442,0.0116279069767442,NA
"1195_1","ASC 2",1,0.075801749271137,0.075801749271137,NA
"1196_1","ASC 1",1,0.0263157894736842,0.0263157894736842,NA
"1197_1","ASC 2",1,0.00576368876080692,0.00576368876080692,NA
"1198_1","IgD+ve Memory",1,0.0351906158357771,0.0351906158357771,NA
"1199_1","IgD+ve Memory",1,0.00292397660818713,0.00292397660818713,NA
"119_1","ASC 2",1,0.00579710144927536,0.00579710144927536,NA
"11_1","ASC 2",1,0.0621468926553672,0.0621468926553672,NA
"1200_1","ASC 2",1,0.0408163265306122,0.0408163265306122,NA
"1201_1","Cell-Cycling",1,0.0207100591715976,0.0207100591715976,NA
"1202_1","NAIVE 2",1,0.00292397660818713,0.00292397660818713,NA
"1203_1","IgD-ve Memory",1,0.0626865671641791,0.0626865671641791,NA
"1204_1","NAIVE 2",1,0.00898203592814371,0.00898203592814371,NA
"1205_1","ASC 2",1,0.0471976401179941,0.0471976401179941,NA
"1205_1","IgD+ve Memory",1,0.0294985250737463,0.0294985250737463,NA
"1206_1","IgD+ve Memory",1,0.0327380952380952,0.0327380952380952,NA
"1207_1","IgD+ve Memory",1,0.0326409495548961,0.0326409495548961,NA
"1208_1","IgD-ve Memory",1,0.0321637426900585,0.0321637426900585,NA
"1209_1","NAIVE 2",1,0,0,NA
"120_1","ASC 2",1,0.0805970149253731,0.0805970149253731,NA
"1210_1","IgD-ve Memory",1,0.0237388724035608,0.0237388724035608,NA
"1211_1","IgD-ve Memory",1,0.0376811594202899,0.0376811594202899,NA
"1212_1","NAIVE 1",1,0.0210843373493976,0.0210843373493976,NA
"1213_1","ASC 2",2,0.0370919881305638,0.0370919881305638,0.00209823970678501
"1213_2","NAIVE 1",1,0.0385756676557863,0.0385756676557863,NA
"1214_1","IgD-ve Memory",1,0.0567164179104478,0.0567164179104478,NA
"1215_1","IgD-ve Memory",1,0.026865671641791,0.026865671641791,NA
"1216_1","ASC 1",1,0.0117302052785924,0.0117302052785924,NA
"1217_1","ASC 2",1,0.00598802395209581,0.00598802395209581,NA
"1218_1","IgD+ve Memory",1,0.0382352941176471,0.0382352941176471,NA
"1218_2","IgD+ve Memory",1,0.0266272189349112,0.0266272189349112,NA
"1219_1","IgD+ve Memory",1,0.0029585798816568,0.0029585798816568,NA
"121_1","ASC 2",1,0.0207100591715976,0.0207100591715976,NA
"1220_1","IgD+ve Memory",1,0.036036036036036,0.036036036036036,NA
"1221_1","IgD-ve Memory",1,0.0567164179104478,0.0567164179104478,NA
"1222_1","DN2",1,0.0380116959064327,0.0380116959064327,NA
"1222_1","HSP+",1,0.0350877192982456,0.0350877192982456,NA
"1222_1","IgD+ve Memory",18,0.0399610136452242,0.043859649122807,0.00665259016367861
"1222_1","NAIVE 2",1,0.043859649122807,0.043859649122807,NA
"1222_2","NAIVE 1",1,0.043859649122807,0.043859649122807,NA
"1222_3","IgD+ve Memory",1,0.0292397660818713,0.0292397660818713,NA
"1222_4","IgD+ve Memory",1,0.0175438596491228,0.0175438596491228,NA
"1222_5","IgD+ve Memory",1,0.0497076023391813,0.0497076023391813,NA
"1222_6","IgD+ve Memory",1,0.0204678362573099,0.0204678362573099,NA
"1223_1","ASC 2",1,0.00303030303030303,0.00303030303030303,NA
"1224_1","NAIVE 1",1,0.0887573964497041,0.0887573964497041,NA
"1225_1","ASC 2",1,0.0727272727272727,0.0727272727272727,NA
"1226_1","NAIVE 1",1,0.129909365558912,0.129909365558912,NA
