gene,is_receptor_gene
KIFC3,FALSE
AC010343.3,FALSE
S100A4,FALSE
DDOST,FALSE
GK,FALSE
SHBG,FALSE
AC009522.1,FALSE
MAGI3,FALSE
ESR1,FALSE
SMAD1,FALSE
BUB1B,FALSE
BCL2L11,FALSE
HIST1H4H,FALSE
H2AFY,FALSE
EXO1,FALSE
AC011498.1,FALSE
AC022509.3,FALSE
PGAP1,FALSE
AC073655.3,FALSE
TPST2,FALSE
ID3,FALSE
STBD1,FALSE
SFRP2,FALSE
RUNX2,FALSE
HSBP1,FALSE
STARD5,FALSE
ATP1B2,FALSE
TMEM258,FALSE
CREB3L2,FALSE
CFAP54,FALSE
SLC1A1,FALSE
MND1,FALSE
ZP3,FALSE
DAD1,FALSE
FAM92B,FALSE
PFKFB3,FALSE
IL6R,FALSE
RASGRF2,FALSE
PCDH9,FALSE
DCAF12,FALSE
EXT1,FALSE
ARNTL2,FALSE
HDAC9,FALSE
PIK3CG,FALSE
AL136987.1,FALSE
ZNF215,FALSE
TDRKH-AS1,FALSE
LTBP1,FALSE
ACY3,FALSE
EHD1,FALSE
TIMP2,FALSE
AL161665.2,FALSE
ATXN1,FALSE
GFPT2,FALSE
SPC25,FALSE
CDK2AP2,FALSE
AFF2,FALSE
FBXL8,FALSE
PDE4C,FALSE
IGF2BP3,FALSE
STX11,FALSE
NPPC,FALSE
TMEM238,FALSE
MCTP2,FALSE
HIST1H2BM,FALSE
TESC,FALSE
NCS1,FALSE
TRIM55,FALSE
SERPINE1,FALSE
HRK,FALSE
DNAJC3-DT,FALSE
ATAD5,FALSE
MANEA,FALSE
CALM3,FALSE
LINC01943,FALSE
LINC00632,FALSE
MRPS6,FALSE
HIST1H3A,FALSE
ESCO2,FALSE
SYAP1,FALSE
RDM1,FALSE
NR6A1,FALSE
AC010996.1,FALSE
AC010275.1,FALSE
TMEM208,FALSE
XACT,FALSE
AC078883.1,FALSE
DLGAP1,FALSE
BIRC3,FALSE
PIK3R3,FALSE
BAIAP2L1,FALSE
TANC1,FALSE
AL355075.4,FALSE
EZH2,FALSE
GAB1,FALSE
KIF11,FALSE
CCNI2,FALSE
C2CD3,FALSE
B4GALT7,FALSE
ARHGAP42,FALSE
CHID1,FALSE
AC016831.7,FALSE
ARHGAP26,FALSE
GCSAM,FALSE
PDGFD,FALSE
PDK1,FALSE
AC007991.3,FALSE
LINC01182,FALSE
KIF4A,FALSE
MATN1,FALSE
CENPP,FALSE
CCPG1,FALSE
PAPSS2,FALSE
DENND6A-DT,FALSE
AC015849.1,FALSE
RPS27L,FALSE
AC092068.2,FALSE
CXXC5,FALSE
DLL4,FALSE
TAS1R3,FALSE
TNFSF10,FALSE
LANCL2,FALSE
SMPDL3B,FALSE
HIST1H2BF,FALSE
ARHGAP23,FALSE
NDUFAF6,FALSE
CERS6,FALSE
A4GALT,FALSE
SCAPER,FALSE
SSTR2,FALSE
PLA2G4C,FALSE
BCL7A,FALSE
CD86,FALSE
PSME2,FALSE
MCM10,FALSE
CERCAM,FALSE
S100A6,FALSE
PLD3,FALSE
RAD51AP1,FALSE
HIP1,FALSE
LINC02384,FALSE
TMED9,FALSE
SUB1,FALSE
SEC13,FALSE
ELL2,FALSE
CCDC200,FALSE
KIF2C,FALSE
AC016168.2,FALSE
LINC02137,FALSE
HBD,FALSE
CTHRC1,FALSE
PAIP2B,FALSE
RNGTT,FALSE
HIST1H2BB,FALSE
ARG2,FALSE
OSR2,FALSE
HIST2H2AA4,FALSE
LINC01340,FALSE
COL6A3,FALSE
ART3,FALSE
ERVMER61-1,FALSE
EPN2-AS1,FALSE
CCSER1,FALSE
BX284613.2,FALSE
FAM13A,FALSE
MMP23B,FALSE
MLEC,FALSE
EGR2,FALSE
AC083870.1,FALSE
NEDD4L,FALSE
P2RY8,FALSE
QPCT,FALSE
PXDNL,FALSE
PHEX,FALSE
FOXI3,FALSE
NINJ1,FALSE
HIST1H3H,FALSE
GRAMD2B,FALSE
HES4,FALSE
MTHFD2,FALSE
TAPBPL,FALSE
CUBN,FALSE
SIL1,FALSE
ALPL,FALSE
CTNNAL1,FALSE
PRSS21,FALSE
AF165147.1,FALSE
LINC01275,FALSE
GUCY1A1,FALSE
ODF3B,FALSE
CALU,FALSE
LGR4,FALSE
